"","word","freq"
"professors","professors",15
"campus","campus",12
"lot","lot",10
"study","study",10
"life","life",8
"pretty","pretty",8
"enjoy","enjoy",7
"studying","studying",7
"years","years",7
"curriculum","curriculum",6
"facilities","facilities",6
"opportunities","opportunities",6
"research","research",6
"work","work",6
"academic","academic",5
"activities","activities",5
"clubs","clubs",5
"communications","communications",5
"courses","courses",5
"engineering","engineering",5
"find","find",5
"food","food",5
"hard","hard",5
"learning","learning",5
"place","place",5
"questions","questions",5
"wee","wee",5
"business","business",4
"don","don",4
"emails","emails",4
"events","events",4
"experiences","experiences",4
"feel","feel",4
"friendly","friendly",4
"friends","friends",4
"generally","generally",4
"helpful","helpful",4
"options","options",4
"people","people",4
"singapore","singapore",4
"spine","spine",4
"staff","staff",4
"teaching","teaching",4
"terms","terms",4
"things","things",4
"time","time",4
"variety","variety",4
"wkwsci","wkwsci",4
"accommodation","accommodation",3
"activity","activity",3
"administration","administration",3
"affordable","affordable",3
"amazing","amazing",3
"art","art",3
"bit","bit",3
"career","career",3
"competitive","competitive",3
"diverse","diverse",3
"experience","experience",3
"faculty","faculty",3
"future","future",3
"high","high",3
"highly","highly",3
"hour","hour",3
"huge","huge",3
"industry","industry",3
"information","information",3
"labs","labs",3
"level","level",3
"lots","lots",3
"majors","majors",3
"make","make",3
"modules","modules",3
"north","north",3
"part","part",3
"points","points",3
"pursue","pursue",3
"recommend","recommend",3
"relevant","relevant",3
"studies","studies",3
"top","top",3
"travel","travel",3
"tuition","tuition",3
"administrative","administrative",2
"advice","advice",2
"albeit","albeit",2
"alright","alright",2
"answer","answer",2
"area","area",2
"arts","arts",2
"average","average",2
"based","based",2
"big","big",2
"biggest","biggest",2
"bound","bound",2
"buses","buses",2
"canteen","canteen",2
"care","care",2
"case","case",2
"circle","circle",2
"city","city",2
"class","class",2
"college","college",2
"coming","coming",2
"computer","computer",2
"crowd","crowd",2
"culture","culture",2
"didn","didn",2
"discipline","discipline",2
"dorms","dorms",2
"due","due",2
"earn","earn",2
"education","education",2
"environment","environment",2
"exams","exams",2
"expensive","expensive",2
"explore","explore",2
"fee","fee",2
"focus","focus",2
"form","form",2
"fun","fun",2
"gpa","gpa",2
"held","held",2
"hours","hours",2
"housing","housing",2
"ideal","ideal",2
"international","international",2
"isn","isn",2
"issue","issue",2
"join","join",2
"kim","kim",2
"kind","kind",2
"knowledge","knowledge",2
"learn","learn",2
"lectures","lectures",2
"library","library",2
"loan","loan",2
"local","local",2
"located","located",2
"location","location",2
"long","long",2
"love","love",2
"lunch","lunch",2
"major","major",2
"makes","makes",2
"manage","manage",2
