"","word","freq"
"experience","experience",24
"life","life",23
"lot","lot",17
"studying","studying",16
"campus","campus",14
"learn","learn",14
"people","people",14
"study","study",13
"advice","advice",11
"faculty","faculty",10
"staff","staff",10
"enjoy","enjoy",9
"hard","hard",9
"learning","learning",9
"college","college",8
"important","important",8
"make","make",8
"competitive","competitive",7
"facilities","facilities",7
"stay","stay",7
"time","time",7
"education","education",6
"food","food",6
"future","future",6
"join","join",6
"modules","modules",6
"place","place",6
"stress","stress",6
"thing","thing",6
"work","work",6
"activities","activities",5
"don","don",5
"exchange","exchange",5
"grades","grades",5
"helpful","helpful",5
"lecturers","lecturers",5
"opportunities","opportunities",5
"play","play",5
"review","review",5
"thinking","thinking",5
"world","world",5
"academic","academic",4
"accommodation","accommodation",4
"business","business",4
"city","city",4
"clubs","clubs",4
"extremely","extremely",4
"friends","friends",4
"generally","generally",4
"hall","hall",4
"high","high",4
"living","living",4
"meet","meet",4
"mind","mind",4
"national","national",4
"part","part",4
"potential","potential",4
"prepared","prepared",4
"professors","professors",4
"science","science",4
"services","services",4
"system","system",4
"utown","utown",4
"based","based",3
"ccas","ccas",3
"center","center",3
"comprehensive","comprehensive",3
"environment","environment",3
"exposure","exposure",3
"friendly","friendly",3
"full","full",3
"give","give",3
"institution","institution",3
"interact","interact",3
"lectures","lectures",3
"located","located",3
"ntu","ntu",3
"options","options",3
"overseas","overseas",3
"peers","peers",3
"pressure","pressure",3
"put","put",3
"semester","semester",3
"smu","smu",3
"societies","societies",3
"start","start",3
"stressful","stressful",3
"teaching","teaching",3
"things","things",3
"vibrant","vibrant",3
"academically","academically",2
"accent","accent",2
"actuarial","actuarial",2
"amenities","amenities",2
"applied","applied",2
"approachable","approachable",2
"asia","asia",2
"awesome","awesome",2
"big","big",2
"career","career",2
"chance","chance",2
"choice","choice",2
"coming","coming",2
"computer","computer",2
"courses","courses",2
"critical","critical",2
"due","due",2
"easy","easy",2
"emphasis","emphasis",2
"engineering","engineering",2
"enjoyable","enjoyable",2
"enjoyed","enjoyed",2
"enjoying","enjoying",2
"events","events",2
"examination","examination",2
"expectations","expectations",2
"expenses","expenses",2
"expensive","expensive",2
"filled","filled",2
"free","free",2
"freedom","freedom",2
"fun","fun",2
"gain","gain",2
"graduate","graduate",2
"handle","handle",2
"interest","interest",2
"isn","isn",2
"issues","issues",2
"joining","joining",2
"keen","keen",2
"knowledgable","knowledgable",2
"lab","lab",2
"labs","labs",2
"law","law",2
"live","live",2
"location","location",2
"maintain","maintain",2
"major","major",2
"management","management",2
"nmost","nmost",2
"note","note",2
"nthe","nthe",2
"nthere","nthere",2
"open","open",2
"period","period",2
"planning","planning",2
"plenty","plenty",2
"programme","programme",2
"prominent","prominent",2
"qualities","qualities",2
"questions","questions",2
"range","range",2
"research","research",2
"residential","residential",2
"room","room",2
"rounded","rounded",2
"satisfied","satisfied",2
"shuttle","shuttle",2
"small","small",2
"speak","speak",2
"sports","sports",2
"stuff","stuff",2
"sucks","sucks",2
"teach","teach",2
"top","top",2
"universities","universities",2
"unlike","unlike",2
"variety","variety",2
"working","working",2
"worldwide","worldwide",2
"abound","abound",1
"abroad","abroad",1
"academics","academics",1
"adapt","adapt",1
"admin","admin",1
"air","air",1
"alice","alice",1
"allocation","allocation",1
"allowed","allowed",1
"allowing","allowing",1
"america","america",1
"ample","ample",1
"applicable","applicable",1
"applying","applying",1
"areas","areas",1
"aspects","aspects",1
"assisting","assisting",1
"atmosphere","atmosphere",1
"attend","attend",1
"average","average",1
"background","background",1
"backgrounds","backgrounds",1
"bad","bad",1
"balance","balance",1
"basically","basically",1
"bell","bell",1
"belong","belong",1
"benefits","benefits",1
"biased","biased",1
"bidding","bidding",1
"bit","bit",1
"bite","bite",1
"biz","biz",1
"blatant","blatant",1
"board","board",1
"brand","brand",1
"bus","bus",1
"buses","buses",1
"busy","busy",1
"buy","buy",1
"cable","cable",1
"cafes","cafes",1
"call","call",1
"camps","camps",1
"canteen","canteen",1
"catering","catering",1
"caucasian","caucasian",1
"caught","caught",1
"cca","cca",1
"centre","centre",1
"challenging","challenging",1
"change","change",1
"changed","changed",1
"chase","chase",1
"chemistry","chemistry",1
"choices","choices",1
"choose","choose",1
"choosing","choosing",1
"chope","chope",1
"cinnamon","cinnamon",1
"cities","cities",1
"class","class",1
"cohort","cohort",1
"colleges","colleges",1
"comfortable","comfortable",1
"communicate","communicate",1
"community","community",1
"companies","companies",1
"compared","compared",1
"comparison","comparison",1
"competition","competition",1
"competitions","competitions",1
"competitiveness","competitiveness",1
"con","con",1
"concern","concern",1
"conducive","conducive",1
"conferences","conferences",1
"connections","connections",1
"continent","continent",1
"conveniently","conveniently",1
"corner","corner",1
"counsellors","counsellors",1
"countries","countries",1
"courts","courts",1
"covid","covid",1
"creative","creative",1
"crowded","crowded",1
"curve","curve",1
"daily","daily",1
"degree","degree",1
"depending","depending",1
"depth","depth",1
"didn","didn",1
"dietary","dietary",1
"dining","dining",1
"direction","direction",1
"discipline","discipline",1
"disciplined","disciplined",1
"dissertation","dissertation",1
"doesn","doesn",1
"downs","downs",1
"educator","educator",1
"efficiency","efficiency",1
"employment","employment",1
"encourage","encourage",1
"end","end",1
"energy","energy",1
"engaging","engaging",1
"enhance","enhance",1
"enrich","enrich",1
"entrepreneur","entrepreneur",1
"entry","entry",1
"equip","equip",1
"ethernet","ethernet",1
"excel","excel",1
"excellent","excellent",1
"exception","exception",1
"exciting","exciting",1
"expected","expected",1
"experiencing","experiencing",1
"explore","explore",1
"exploring","exploring",1
"exposing","exposing",1
"fact","fact",1
"faculties","faculties",1
"fail","fail",1
"favoritism","favoritism",1
"favourite","favourite",1
"fellow","fellow",1
"field","field",1
"fierce","fierce",1
"final","final",1
"finance","finance",1
"foot","foot",1
"foreign","foreign",1
"foreigner","foreigner",1
"foreigners","foreigners",1
"forms","forms",1
"fresh","fresh",1
"fulfilling","fulfilling",1
"fully","fully",1
"gave","gave",1
"general","general",1
"giving","giving",1
"global","global",1
"globe","globe",1
"grading","grading",1
"graduated","graduated",1
"graduation","graduation",1
"grew","grew",1
"group","group",1
"groups","groups",1
"grow","grow",1
"guidance","guidance",1
"guide","guide",1
"halls","halls",1
"hand","hand",1
"harder","harder",1
"hardworking","hardworking",1
"harmonica","harmonica",1
"health","health",1
"heard","heard",1
"heart","heart",1
"held","held",1
"hide","hide",1
"highlight","highlight",1
"honestly","honestly",1
"horrible","horrible",1
"hostel","hostel",1
"hours","hours",1
"huge","huge",1
"ignore","ignore",1
"improved","improved",1
"include","include",1
"independent","independent",1
"industry","industry",1
"informed","informed",1
"ing","ing",1
"institute","institute",1
"intellectually","intellectually",1
"interested","interested",1
"internal","internal",1
"international","international",1
"internship","internship",1
"internships","internships",1
"introverts","introverts",1
"involve","involve",1
"involved","involved",1
"irrelevant","irrelevant",1
"island","island",1
"issue","issue",1
"job","job",1
"kendo","kendo",1
"kent","kent",1
"knowledge","knowledge",1
"knowledgeable","knowledgeable",1
"laboratory","laboratory",1
"lacks","lacks",1
"lame","lame",1
"large","large",1
"latest","latest",1
"lead","lead",1
"leadership","leadership",1
"learnt","learnt",1
"level","level",1
"library","library",1
"limited","limited",1
"links","links",1
"lived","lived",1
"lively","lively",1
"lots","lots",1
"love","love",1
"lowest","lowest",1
"luminus","luminus",1
"made","made",1
"mailers","mailers",1
"main","main",1
"maintained","maintained",1
"manage","manage",1
"mathematics","mathematics",1
"meals","meals",1
"meeting","meeting",1
"mine","mine",1
"module","module",1
"moment","moment",1
"multiple","multiple",1
"munch","munch",1
"nadditionally","nadditionally",1
"naffordable","naffordable",1
"nbefore","nbefore",1
"ncampus","ncampus",1
"nclasses","nclasses",1
"ncons","ncons",1
"needed","needed",1
"network","network",1
"networking","networking",1
"nice","nice",1
"night","night",1
"noc","noc",1
"notably","notably",1
"npros","npros",1
"number","number",1
"nurturing","nurturing",1
"nwide","nwide",1
"opportunity","opportunity",1
"opt","opt",1
"orators","orators",1
"orientation","orientation",1
"overload","overload",1
"parking","parking",1
"participate","participate",1
"participation","participation",1
"partnership","partnership",1
"passion","passion",1
"passionate","passionate",1
"person","person",1
"personally","personally",1
"peter","peter",1
"physics","physics",1
"pioneer","pioneer",1
"pleasant","pleasant",1
"portal","portal",1
"precious","precious",1
"presentation","presentation",1
"previous","previous",1
"problem","problem",1
"program","program",1
"programmes","programmes",1
"project","project",1
"projects","projects",1
"promise","promise",1
"prospective","prospective",1
"provide","provide",1
"provided","provided",1
"providing","providing",1
"push","push",1
"qualified","qualified",1
"quality","quality",1
"quantitative","quantitative",1
"racial","racial",1
"random","random",1
"ranked","ranked",1
"rating","rating",1
"ratio","ratio",1
"read","read",1
"real","real",1
"recommend","recommend",1
"recreational","recreational",1
"region","region",1
"regretted","regretted",1
"regular","regular",1
"reknowned","reknowned",1
"related","related",1
"relative","relative",1
"relax","relax",1
"reputable","reputable",1
"require","require",1
"requirements","requirements",1
"requires","requires",1
"residence","residence",1
"residences","residences",1
"restaurants","restaurants",1
"resume","resume",1
"ridge","ridge",1
"rigid","rigid",1
"rising","rising",1
"risk","risk",1
"robust","robust",1
"role","role",1
"sadly","sadly",1
"safe","safe",1
"safest","safest",1
"scattered","scattered",1
