"","word","freq"
"class","class",10
"campus","campus",6
"experience","experience",5
"learning","learning",5
"advice","advice",4
"classes","classes",4
"life","life",4
"make","make",4
"prepared","prepared",4
"style","style",4
"city","city",3
"environment","environment",3
"friendly","friendly",3
"high","high",3
"infrastructure","infrastructure",3
"interactive","interactive",3
"located","located",3
"lot","lot",3
"people","people",3
"professors","professors",3
"shopping","shopping",3
"singapore","singapore",3
"skills","skills",3
"speak","speak",3
"teaching","teaching",3
"time","time",3
"world","world",3
"ability","ability",2
"academic","academic",2
"accessible","accessible",2
"activities","activities",2
"career","career",2
"collaborative","collaborative",2
"companies","companies",2
"contributed","contributed",2
"convenient","convenient",2
"development","development",2
"diversity","diversity",2
"education","education",2
"equipped","equipped",2
"facilities","facilities",2
"food","food",2
"future","future",2
"generally","generally",2
"greatly","greatly",2
"helped","helped",2
"highly","highly",2
"important","important",2
"interaction","interaction",2
"key","key",2
"learn","learn",2
"limited","limited",2
"malls","malls",2
"notch","notch",2
"pick","pick",2
"quality","quality",2
"selection","selection",2
"smooth","smooth",2
"structured","structured",2
"top","top",2
"transition","transition",2
"understanding","understanding",2
"academics","academics",1
"accessibility","accessibility",1
"actively","actively",1
"actual","actual",1
"adapt","adapt",1
"afraid","afraid",1
"air","air",1
"alright","alright",1
"amazing","amazing",1
"american","american",1
"application","application",1
"approachable","approachable",1
"area","area",1
"areas","areas",1
"art","art",1
"assigned","assigned",1
"assignments","assignments",1
"association","association",1
"attendance","attendance",1
"boring","boring",1
"business","business",1
"center","center",1
"centers","centers",1
"central","central",1
"centrally","centrally",1
"choice","choice",1
"choose","choose",1
"clubs","clubs",1
"coach","coach",1
"collaboration","collaboration",1
"college","college",1
"comfort","comfort",1
"coming","coming",1
"compared","compared",1
"competition","competition",1
"competitive","competitive",1
"concepts","concepts",1
"courses","courses",1
"creative","creative",1
"critical","critical",1
"culture","culture",1
"curriculum","curriculum",1
"depending","depending",1
"diligent","diligent",1
"discussion","discussion",1
"district","district",1
"don","don",1
"downtown","downtown",1
"easily","easily",1
"eat","eat",1
"emphasis","emphasis",1
"employment","employment",1
"encouraged","encouraged",1
"enjoyable","enjoyable",1
"enter","enter",1
"european","european",1
"excellent","excellent",1
"exciting","exciting",1
"expertise","expertise",1
"extremely","extremely",1
"eye","eye",1
"facility","facility",1
"fact","fact",1
"faculty","faculty",1
"feeling","feeling",1
"feels","feels",1
"field","field",1
"fields","fields",1
"focused","focused",1
"fool","fool",1
"fresh","fresh",1
"friends","friends",1
"fully","fully",1
"fun","fun",1
"gantry","gantry",1
"give","give",1
"graduates","graduates",1
"graduation","graduation",1
"grow","grow",1
"handle","handle",1
"happening","happening",1
"haven","haven",1
"hear","hear",1
"heart","heart",1
"helpful","helpful",1
"helps","helps",1
"highlight","highlight",1
"hobbies","hobbies",1
"honed","honed",1
"honestly","honestly",1
"immersed","immersed",1
"industry","industry",1
"intensive","intensive",1
"interact","interact",1
"issue","issue",1
"issues","issues",1
"join","join",1
"kind","kind",1
"law","law",1
"lazy","lazy",1
"leadership","leadership",1
"learnings","learnings",1
"lecturers","lecturers",1
"level","level",1
"likes","likes",1
"links","links",1
"locals","locals",1
"location","location",1
"long","long",1
"lots","lots",1
"love","love",1
"loved","loved",1
"manage","manage",1
"management","management",1
"mandatory","mandatory",1
"mba","mba",1
"mind","mind",1
"modern","modern",1
"nearby","nearby",1
"needed","needed",1
"nice","nice",1
"number","number",1
"occupied","occupied",1
"occur","occur",1
"offered","offered",1
"offers","offers",1
"opportunities","opportunities",1
"options","options",1
"organizations","organizations",1
"orientation","orientation",1
"outstanding","outstanding",1
"participating","participating",1
"participation","participation",1
"pedagogy","pedagogy",1
"perfect","perfect",1
"person","person",1
"place","place",1
"places","places",1
"pleased","pleased",1
"point","point",1
"prepare","prepare",1
"presentations","presentations",1
"pretty","pretty",1
"professional","professional",1
"profs","profs",1
"project","project",1
"projects","projects",1
"range","range",1
"readily","readily",1
"readings","readings",1
"real","real",1
"requires","requires",1
"restricted","restricted",1
"result","result",1
"risk","risk",1
"rules","rules",1
"security","security",1
"seminar","seminar",1
"singaporean","singaporean",1
"size","size",1
"sizes","sizes",1
"skillsets","skillsets",1
"small","small",1
"smaller","smaller",1
"spending","spending",1
"staff","staff",1
"standard","standard",1
"state","state",1
"step","step",1
"stress","stress",1
"studies","studies",1
"study","study",1
"studying","studying",1
"styles","styles",1
"talk","talk",1
"tap","tap",1
"tas","tas",1
"teachers","teachers",1
"teamwork","teamwork",1
"thing","thing",1
"thinker","thinker",1
"thinking","thinking",1
"thoughts","thoughts",1
"tpok","tpok",1
"traveling","traveling",1
"union","union",1
"universities","universities",1
"variety","variety",1
"venture","venture",1
"views","views",1
"wide","wide",1
"work","work",1
"workforce","workforce",1
"working","working",1
"zone","zone",1
