"","word","freq"
"research","research",9
"projects","projects",6
"school","school",6
"learning","learning",5
"opportunities","opportunities",5
"phd","phd",5
"place","place",5
"groups","groups",4
"professors","professors",4
"small","small",4
"work","work",4
"culture","culture",3
"environment","environment",3
"experience","experience",3
"food","food",3
"hands","hands",3
"strong","strong",3
"support","support",3
"world","world",3
"young","young",3
"academic","academic",2
"amazing","amazing",2
"campus","campus",2
"canteen","canteen",2
"closely","closely",2
"curriculum","curriculum",2
"heavy","heavy",2
"industry","industry",2
"lot","lot",2
"multiple","multiple",2
"options","options",2
"oriented","oriented",2
"packed","packed",2
"project","project",2
"quality","quality",2
"skills","skills",2
"study","study",2
"undergraduate","undergraduate",2
"year","year",2
"acamedia","acamedia",1
"actively","actively",1
"activities","activities",1
"addition","addition",1
"ambition","ambition",1
"applications","applications",1
"atmosphere","atmosphere",1
"bad","bad",1
"based","based",1
"bearable","bearable",1
"behaves","behaves",1
"beware","beware",1
"bigger","bigger",1
"canteens","canteens",1
"career","career",1
"challenges","challenges",1
"chance","chance",1
"change","change",1
"choice","choice",1
"collaborative","collaborative",1
"communication","communication",1
"community","community",1
"compared","compared",1
"competition","competition",1
"computer","computer",1
"connections","connections",1
"cons","cons",1
"content","content",1
"coursework","coursework",1
"court","court",1
"create","create",1
"cutting","cutting",1
"datelines","datelines",1
"decisions","decisions",1
"difficult","difficult",1
"diverse","diverse",1
"don","don",1
"doors","doors",1
"downstairs","downstairs",1
"downtown","downtown",1
"edge","edge",1
"educational","educational",1
"emphasis","emphasis",1
"end","end",1
"energetic","energetic",1
"entrepreneurial","entrepreneurial",1
"esp","esp",1
"especial","especial",1
"exams","exams",1
"expect","expect",1
"experienced","experienced",1
"exposes","exposes",1
"faculty","faculty",1
"fast","fast",1
"feel","feel",1
"firm","firm",1
"flexible","flexible",1
"focus","focus",1
"free","free",1
"friends","friends",1
"fulfilling","fulfilling",1
"funded","funded",1
"fundings","fundings",1
"gave","gave",1
"generally","generally",1
"happy","happy",1
"high","high",1
"homework","homework",1
"ihl","ihl",1
"impact","impact",1
"infrastructure","infrastructure",1
"interact","interact",1
"internships","internships",1
"jobs","jobs",1
"join","join",1
"knit","knit",1
"knowledge","knowledge",1
"late","late",1
"leave","leave",1
"lecture","lecture",1
"length","length",1
"limited","limited",1
"love","love",1
"machine","machine",1
"made","made",1
"maker","maker",1
"makes","makes",1
"management","management",1
"meant","meant",1
"mindset","mindset",1
"mit","mit",1
"money","money",1
"mrt","mrt",1
"negative","negative",1
"nfar","nfar",1
"nice","nice",1
"nights","nights",1
"nnew","nnew",1
"open","open",1
"paced","paced",1
"paid","paid",1
"part","part",1
"pathetic","pathetic",1
"payment","payment",1
"peer","peer",1
"peers","peers",1
"pick","pick",1
"plenty","plenty",1
"population","population",1
"postdoc","postdoc",1
"professional","professional",1
"profs","profs",1
"program","program",1
"ranking","ranking",1
"real","real",1
"reduced","reduced",1
"reflected","reflected",1
"relaxing","relaxing",1
"renowned","renowned",1
"resources","resources",1
"rigour","rigour",1
"science","science",1
"seek","seek",1
"size","size",1
"smaller","smaller",1
"started","started",1
"starting","starting",1
"stressful","stressful",1
"structure","structure",1
"structured","structured",1
"studies","studies",1
"subs","subs",1
"sufficient","sufficient",1
"superb","superb",1
"supervisor","supervisor",1
"teach","teach",1
"teaching","teaching",1
"tech","tech",1
"term","term",1
"things","things",1
"time","time",1
"timetable","timetable",1
"tiny","tiny",1
"training","training",1
"true","true",1
"typically","typically",1
"universities","universities",1
"welcoming","welcoming",1
"wise","wise",1
"wonderful","wonderful",1
"workload","workload",1
"years","years",1
"zju","zju",1
