"","year","university","school","degree","employment_rate_overall","employment_rate_ft_perm","basic_monthly_mean","basic_monthly_median","gross_monthly_mean","gross_monthly_median","gross_mthly_25_percentile","gross_mthly_75_percentile","SGP_Fees","SGP_PR_Fees","IGP_Alevel_10th percentile","IGP_Poly_10th percentile","X","mbti_types"
"1",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy",96,88.7,3213,3000,3228,3000,3000,3100,9400,13200,"BBC/C","3.74",1341,"ENTJ - The Commander"
"2",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy",96,88.7,3213,3000,3228,3000,3000,3100,9400,13200,"BBC/C","3.74",1342,"ENTP - The Visionary"
"3",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy",96,88.7,3213,3000,3228,3000,3000,3100,9400,13200,"BBC/C","3.74",1343,"ISTJ - The Inspector"
"4",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy",96,88.7,3213,3000,3228,3000,3000,3100,9400,13200,"BBC/C","3.74",1344,"ESTJ - The Supervisor"
"5",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy",96,88.7,3213,3000,3228,3000,3000,3100,9400,13200,"BBC/C","3.74",1345,"ESFJ - The Provider"
"6",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy",96,88.7,3213,3000,3228,3000,3000,3100,9400,13200,"BBC/C","3.74",1346,"ENTJ - The Commander"
"7",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy",96,88.7,3213,3000,3228,3000,3000,3100,9400,13200,"BBC/C","3.74",1347,"ENTP - The Visionary"
"8",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy",96,88.7,3213,3000,3228,3000,3000,3100,9400,13200,"BBC/C","3.74",1348,"ISTJ - The Inspector"
"9",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy",96,88.7,3213,3000,3228,3000,3000,3100,9400,13200,"BBC/C","3.74",1349,"ESTJ - The Supervisor"
"10",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy",96,88.7,3213,3000,3228,3000,3000,3100,9400,13200,"BBC/C","3.74",1350,"ESFJ - The Provider"
"11",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy and Business",97.6,91.3,4615,4327,4704,4405,3500,5000,9400,13200,NA,NA,684,"ENTP - The Visionary"
"12",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy and Business",97.6,91.3,4615,4327,4704,4405,3500,5000,9400,13200,NA,NA,687,"ENFP - The Champion"
"13",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy and Business",97.6,91.3,4615,4327,4704,4405,3500,5000,9400,13200,NA,NA,690,"INFP - The Healer"
"14",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy and Business",97.6,91.3,4615,4327,4704,4405,3500,5000,9400,13200,NA,NA,693,"ISTJ - The Inspector"
"15",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy and Business",97.6,91.3,4615,4327,4704,4405,3500,5000,9400,13200,NA,NA,696,"ESTJ - The Supervisor"
"16",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy and Business",97.6,91.3,4615,4327,4704,4405,3500,5000,9400,13200,NA,NA,699,"ESFJ - The Provider"
"17",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy and Business",97.6,91.3,4615,4327,4704,4405,3500,5000,9400,13200,NA,NA,702,"ENTJ - The Commander"
"18",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy and Business",97.6,91.3,4615,4327,4704,4405,3500,5000,9400,13200,NA,NA,705,"ISTP - The Crafter"
"19",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy and Business",97.6,91.3,4615,4327,4704,4405,3500,5000,9400,13200,NA,NA,708,"INTP - The Architect"
"20",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy and Business",97.6,91.3,4615,4327,4704,4405,3500,5000,9400,13200,NA,NA,711,"INTJ - The Mastermind"
"21",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy and Business",97.6,91.3,4615,4327,4704,4405,3500,5000,9400,13200,NA,NA,714,"ENFJ - The Teacher"
"22",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy and Business",97.6,91.3,4615,4327,4704,4405,3500,5000,9400,13200,NA,NA,717,"ISFJ - The Protector"
"23",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Business",95.2,66.8,3973,3750,4113,3800,3300,4429,9400,13200,"BCC/B","3.61",79,"ESTJ - The Supervisor"
"24",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Business",95.2,66.8,3973,3750,4113,3800,3300,4429,9400,13200,"BCC/B","3.61",86,"ESFJ - The Provider"
"25",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Business",95.2,66.8,3973,3750,4113,3800,3300,4429,9400,13200,"BCC/B","3.61",93,"ISTJ - The Inspector"
"26",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Business",95.2,66.8,3973,3750,4113,3800,3300,4429,9400,13200,"BCC/B","3.61",100,"ISTP - The Crafter"
"27",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Business",95.2,66.8,3973,3750,4113,3800,3300,4429,9400,13200,"BCC/B","3.61",107,"ENTJ - The Commander"
"28",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Business",95.2,66.8,3973,3750,4113,3800,3300,4429,9400,13200,"BCC/B","3.61",114,"INTJ - The Mastermind"
"29",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Business",95.2,66.8,3973,3750,4113,3800,3300,4429,9400,13200,"BCC/B","3.61",121,"ISFJ - The Protector"
"30",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Business",95.2,66.8,3973,3750,4113,3800,3300,4429,9400,13200,"BCC/B","3.61",128,"INTP - The Architect"
"31",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Business",95.2,66.8,3973,3750,4113,3800,3300,4429,9400,13200,"BCC/B","3.61",135,"ENTP - The Visionary"
"32",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Business",95.2,66.8,3973,3750,4113,3800,3300,4429,9400,13200,"BCC/B","3.61",142,"ENFP - The Champion"
"33",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Business",95.2,66.8,3973,3750,4113,3800,3300,4429,9400,13200,"BCC/B","3.61",149,"INFP - The Healer"
"34",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Business",95.2,66.8,3973,3750,4113,3800,3300,4429,9400,13200,"BCC/B","3.61",156,"ENFJ - The Teacher"
"35",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Business and Computing",97.4,97.4,5216,5200,5537,5400,5000,5750,8200,11500,NA,NA,77,"ESTJ - The Supervisor"
"36",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Business and Computing",97.4,97.4,5216,5200,5537,5400,5000,5750,8200,11500,NA,NA,84,"ESFJ - The Provider"
