"","year","university","school","degree","employment_rate_overall","employment_rate_ft_perm","basic_monthly_mean","basic_monthly_median","gross_monthly_mean","gross_monthly_median","gross_mthly_25_percentile","gross_mthly_75_percentile","SGP_Fees","SGP_PR_Fees"
"1",2016,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy",97.3,95.1,3027,2900,3063,2900,2900,3100,9400,13200
"2",2016,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy and Business",97.4,96.6,3836,3500,3893,3500,3100,4250,9400,13200
"3",2016,"Nanyang Technological University","College of Business (Nanyang Business School)","Business",89.6,77.1,3348,3200,3444,3300,3000,3800,9400,13200
"4",2016,"Nanyang Technological University","College of Business (Nanyang Business School)","Business and Computing",94.4,94.4,4232,4000,4407,4600,3800,5000,8200,11500
"5",2016,"Nanyang Technological University","College of Engineering","Aerospace Engineering",82.4,77.9,3761,3625,3840,3675,3350,4435,8200,11500
"6",2016,"Nanyang Technological University","College of Engineering","Bioengineering",77.8,63.9,3151,3200,3317,3237,3000,3510,8200,11500
"7",2016,"Nanyang Technological University","College of Engineering","Chemical and Biomolecular Engineering",80.6,72.6,3336,3225,3476,3400,3200,3800,8200,11500
"8",2016,"Nanyang Technological University","College of Engineering","Civil Engineering",92.4,91.6,3407,3250,3505,3300,3200,3800,8200,11500
"9",2016,"Nanyang Technological University","College of Engineering","Computer Engineering",83.3,75.9,3792,3500,3833,3500,3300,4420,8200,11500
"10",2016,"Nanyang Technological University","College of Engineering","Computer Science",94.6,91.4,3784,3500,3848,3500,3300,4333,8200,11500
"11",2016,"Nanyang Technological University","College of Engineering","Electrical and Electronic Engineering",89.1,83.6,3443,3300,3517,3400,3190,3800,8200,11500
"12",2016,"Nanyang Technological University","College of Engineering","Environmental Engineering",80.6,74.2,3156,3100,3216,3100,2800,3400,8200,11500
"13",2016,"Nanyang Technological University","College of Engineering","Information Engineering and Media",94.6,87.5,3496,3350,3570,3350,3000,4000,8200,11500
"14",2016,"Nanyang Technological University","College of Engineering","Maritime Studies",94.2,88.5,3305,3300,3328,3398,3083,3500,8200,11500
"15",2016,"Nanyang Technological University","College of Engineering","Materials Engineering",81.3,73.5,3197,3200,3317,3300,3000,3500,8200,11500
"16",2016,"Nanyang Technological University","College of Engineering","Mechanical Engineering",86,79.9,3417,3300,3505,3350,3050,3959,8200,11500
"17",2016,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Art, Design and Media",79.7,46.6,2718,2700,2761,2700,2500,3000,8200,11500
"18",2016,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Chinese",91.1,74.7,3239,3300,3345,3300,3050,3500,8200,11500
"19",2016,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Communication Studies",87.7,69.6,2938,2900,2996,3000,2575,3365,8200,11500
"20",2016,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Economics",91.3,79.3,3385,3300,3440,3300,3000,3850,8200,11500
"21",2016,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","English",75,54.2,2974,3000,2997,3000,2700,3400,8200,11500
"22",2016,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","History",87.2,76.6,3027,3000,3082,3000,2700,3500,8200,11500
"23",2016,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Linguistics and Multilingual Studies",81.8,61.8,3283,3315,3368,3365,2960,3500,8200,11500
"24",2016,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Psychology",82.1,66.7,3083,3100,3136,3200,2800,3500,8200,11500
"25",2016,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Sociology",86.1,63.9,3279,3300,3480,3500,3000,3850,8200,11500
"26",2016,"Nanyang Technological University","College of Science","Biomedical Sciences and Chinese Medicine",94.4,88.9,2525,2400,2577,2500,2150,2800,NA,NA
"27",2016,"Nanyang Technological University","College of Science","Biological Sciences",80.5,64,3132,3100,3222,3175,3000,3550,8200,11500
"28",2016,"Nanyang Technological University","College of Science","Chemistry and Biological Chemistry",80.6,64.2,3119,3000,3234,3149,2925,3500,8200,11500
"29",2016,"Nanyang Technological University","College of Science","Mathematical Sciences",88.5,76.9,3453,3400,3535,3500,3200,3750,8200,11500
"30",2016,"Nanyang Technological University","College of Science","Mathematics and Economics",89.4,72.7,3346,3150,3458,3300,3000,3750,8200,11500
"31",2016,"Nanyang Technological University","College of Science","Physics and Applied Physics",85.7,77.1,3578,3350,3683,3450,3100,4000,8200,11500
"32",2016,"Nanyang Technological University","Sports Science and Management","Sports Science and Management",83.1,66.1,3196,3100,3272,3200,2825,3500,8200,11500
"33",2016,"Nanyang Technological University","National Institute of Education (NIE)","Arts with Education",100,100,3337,3500,3525,3525,3400,3615,8200,11500
"34",2016,"Nanyang Technological University","National Institute of Education (NIE)","Science with Education",100,100,3438,3500,3546,3525,3500,3850,8200,11500
"35",2016,"National University of Singapore","Faculty of Arts & Social Sciences","Bachelor of Arts",86.1,62.5,2971,3000,3063,3000,2600,3200,8200,11500
"36",2016,"National University of Singapore","Faculty of Arts & Social Sciences","Bachelor of Arts (Hons)",90.7,74.1,3258,3300,3321,3500,3000,3600,8200,11500
"37",2016,"National University of Singapore","Faculty of Arts & Social Sciences","Bachelor of Social Sciences",89.5,73.3,3341,3300,3423,3300,3000,3650,8200,11500
"38",2016,"National University of Singapore","Faculty of Dentistry","Bachelor of Dental Surgery",100,100,4173,4050,4221,4050,4050,4450,29300,42300
"39",2016,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Biomedical Engineering)",91.9,80.6,3314,3100,3366,3200,3000,3500,8200,11500
"40",2016,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Chemical Engineering)",85.3,80.3,3414,3250,3562,3450,3150,4000,8200,11500
"41",2016,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Civil Engineering)",95.3,91.9,3402,3300,3509,3420,3200,3800,8200,11500
"42",2016,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Computer Engineering)",89.1,85.9,3884,3700,3942,3900,3467,4500,8200,11500
"43",2016,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Electrical Engineering)",91.9,87.6,3669,3400,3765,3500,3200,4200,8200,11500
"44",2016,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Engineering Science)",85.2,74.1,3549,3400,3707,3740,3350,4026,8200,11500
"45",2016,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Environmental Engineering)",79.3,65.5,3432,3300,3470,3350,3000,3832,8200,11500
"46",2016,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Industrial and Systems Engineering)",80.3,78.9,3788,3450,3879,3500,3300,4250,8200,11500
"47",2016,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Materials Science and Engineering)",90.2,78.4,3381,3300,3501,3540,3200,3900,8200,11500
"48",2016,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Mechanical Engineering)",86.6,81,3470,3300,3560,3400,3150,3800,8200,11500
