"year","industry2","Wage.Increment"
2000,"Accommodation And Food Services",5
2000,"Administrative And Support Services",4.1
2000,"Community, Social And Personal Services",8.9
2000,"Construction",2.1
2000,"Financial And Insurance Services",11.6
2000,"Information And Communications",10.4
2000,"Manufacturing",5.6
2000,"Professional Services",9
2000,"Real Estate Services",5.3
2000,"Transportation And Storage",7.6
2000,"Wholesale And Retail Trade",5.8
2001,"Accommodation And Food Services",0.2
2001,"Administrative And Support Services",1.8
2001,"Community, Social And Personal Services",0.8
2001,"Construction",-1.5
2001,"Financial And Insurance Services",3
2001,"Information And Communications",1.3
2001,"Manufacturing",0.2
2001,"Professional Services",1.3
2001,"Real Estate Services",0.2
2001,"Transportation And Storage",3.5
2001,"Wholesale And Retail Trade",1.3
2002,"Accommodation And Food Services",0.2
2002,"Administrative And Support Services",1.1
2002,"Community, Social And Personal Services",1.6
2002,"Construction",-0.9
2002,"Financial And Insurance Services",0.8
2002,"Information And Communications",-0.1
2002,"Manufacturing",0.6
2002,"Professional Services",0.7
2002,"Real Estate Services",-0.1
2002,"Transportation And Storage",-5.5
2002,"Wholesale And Retail Trade",1
2003,"Accommodation And Food Services",0
2003,"Administrative And Support Services",0.7
2003,"Community, Social And Personal Services",1.9
2003,"Construction",-0.1
2003,"Financial And Insurance Services",-1
2003,"Information And Communications",1.2
2003,"Manufacturing",1.8
2003,"Professional Services",2.4
2003,"Real Estate Services",0.7
2003,"Transportation And Storage",3.4
2003,"Wholesale And Retail Trade",1.7
2004,"Accommodation And Food Services",1.9
2004,"Administrative And Support Services",2.1
2004,"Community, Social And Personal Services",5
2004,"Construction",1.5
2004,"Financial And Insurance Services",5.4
2004,"Information And Communications",3.7
2004,"Manufacturing",3.1
2004,"Professional Services",6
2004,"Real Estate Services",1.2
2004,"Transportation And Storage",4
2004,"Wholesale And Retail Trade",3.6
2005,"Accommodation And Food Services",3.4
2005,"Administrative And Support Services",3.6
2005,"Community, Social And Personal Services",3.2
2005,"Construction",1.9
2005,"Financial And Insurance Services",6.7
2005,"Information And Communications",5.3
2005,"Manufacturing",3.7
2005,"Professional Services",5.1
2005,"Real Estate Services",2.4
2005,"Transportation And Storage",7
2005,"Wholesale And Retail Trade",3.9
2006,"Accommodation And Food Services",3.9
2006,"Administrative And Support Services",3.7
2006,"Community, Social And Personal Services",5.1
2006,"Construction",3.7
2006,"Financial And Insurance Services",5.8
2006,"Information And Communications",6.2
2006,"Manufacturing",4.2
2006,"Professional Services",6.8
2006,"Real Estate Services",3.2
2006,"Transportation And Storage",3.1
2006,"Wholesale And Retail Trade",4.6
2007,"Accommodation And Food Services",4.7
2007,"Administrative And Support Services",3.9
2007,"Community, Social And Personal Services",6.1
2007,"Construction",5.1
2007,"Financial And Insurance Services",10.4
2007,"Information And Communications",5.8
2007,"Manufacturing",4.7
2007,"Professional Services",7.9
2007,"Real Estate Services",4.8
2007,"Transportation And Storage",8.8
2007,"Wholesale And Retail Trade",5.4
